Date : 2021-08-14 16:05:59
Directory : c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2
Total : 52 files,  13382 codes, 240 comments, 303 blanks, all 13925 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          2 |     11,315 |          0 |          2 |     11,317 |
| Vue        |         26 |      1,523 |         99 |        169 |      1,791 |
| CSS        |          2 |        191 |        131 |         85 |        407 |
| JavaScript |          9 |        157 |          9 |         30 |        196 |
| XML        |         11 |        157 |          0 |          9 |        166 |
| Markdown   |          1 |         23 |          0 |          7 |         30 |
| HTML       |          1 |         16 |          1 |          1 |         18 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |         52 |     13,382 |        240 |        303 |     13,925 |
| public                                                                                            |          1 |         16 |          1 |          1 |         18 |
| src                                                                                               |         46 |      2,009 |        239 |        291 |      2,539 |
| src\assets                                                                                        |         13 |        348 |        131 |         94 |        573 |
| src\assets\css                                                                                    |          2 |        191 |        131 |         85 |        407 |
| src\assets\img                                                                                    |         11 |        157 |          0 |          9 |        166 |
| src\assets\img\cart                                                                               |          1 |          1 |          0 |          0 |          1 |
| src\assets\img\common                                                                             |          2 |          2 |          0 |          1 |          3 |
| src\assets\img\tabbar                                                                             |          8 |        154 |          0 |          8 |        162 |
| src\common                                                                                        |          1 |         10 |          1 |          1 |         12 |
| src\components                                                                                    |         12 |        602 |         60 |         80 |        742 |
| src\components\common                                                                             |          7 |        362 |         59 |         57 |        478 |
| src\components\common\navbar                                                                      |          1 |         27 |          0 |          4 |         31 |
| src\components\common\scroll                                                                      |          1 |         61 |          6 |          6 |         73 |
| src\components\common\swiper                                                                      |          3 |        201 |         45 |         39 |        285 |
| src\components\common\tabbar                                                                      |          2 |         73 |          8 |          8 |         89 |
| src\components\content                                                                            |          5 |        240 |          1 |         23 |        264 |
| src\components\content\backTop                                                                    |          1 |         21 |          0 |          3 |         24 |
| src\components\content\goods                                                                      |          2 |        107 |          1 |         13 |        121 |
| src\components\content\mainTabbar                                                                 |          1 |         54 |          0 |          4 |         58 |
| src\components\content\tabControl                                                                 |          1 |         58 |          0 |          3 |         61 |
| src\network                                                                                       |          3 |         75 |          8 |         14 |         97 |
| src\router                                                                                        |          1 |         39 |          0 |          7 |         46 |
| src\views                                                                                         |         14 |        906 |         39 |         87 |      1,032 |
| src\views\cart                                                                                    |          1 |         14 |          0 |          4 |         18 |
| src\views\category                                                                                |          1 |         11 |          0 |          5 |         16 |
| src\views\detail                                                                                  |          7 |        562 |         12 |         51 |        625 |
| src\views\detail\childComps                                                                       |          6 |        485 |          1 |         34 |        520 |
| src\views\home                                                                                    |          4 |        265 |         27 |         23 |        315 |
| src\views\home\childComps                                                                         |          3 |         99 |          1 |         11 |        111 |
| src\views\profile                                                                                 |          1 |         54 |          0 |          4 |         58 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                          | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\README.md                                        | Markdown   |         23 |          0 |          7 |         30 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\babel.config.js                                  | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\package-lock.json                                | JSON       |     11,293 |          0 |          1 |     11,294 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\package.json                                     | JSON       |         22 |          0 |          1 |         23 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\public\index.html                                | HTML       |         16 |          1 |          1 |         18 |
